D_kpc,A_med,A_16,A_84,n_stars,bridged,band,ratio_av
10.1,1.9377,1.5754,2.2999,0.0,True,I,0.5807
10.2,1.9377,1.5754,2.2999,0.0,True,I,0.5807
10.3,1.9377,1.5754,2.2999,0.0,True,I,0.5807
10.4,1.9377,1.5754,2.2999,0.0,True,I,0.5807
10.5,1.9377,1.5754,2.2999,0.0,True,I,0.5807
10.6,1.9377,1.5754,2.2999,0.0,True,I,0.5807
10.7,1.9377,1.5754,2.2999,0.0,True,I,0.5807
10.8,1.9377,1.5754,2.2999,0.0,True,I,0.5807
10.9,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.0,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.1,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.2,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.3,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.4,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.5,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.6,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.7,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.8,1.9377,1.5754,2.2999,0.0,True,I,0.5807
11.9,1.9377,1.5754,2.2999,0.0,True,I,0.5807
12.0,1.9377,1.5754,2.2999,0.0,True,I,0.5807
