D_kpc,A_med,A_16,A_84,n_stars,bridged,band,ratio_av
0.6,0.3664,0.293,0.708,22.0,False,I,0.5807
0.7,0.3445,0.2604,0.493,31.0,False,I,0.5807
0.8,0.3536,0.2146,0.9372,46.0,False,I,0.5807
0.9,0.3584,0.2327,0.7391,75.0,False,I,0.5807
1.0,0.3656,0.2283,0.7281,101.0,False,I,0.5807
1.1,0.403,0.2478,0.7432,149.0,False,I,0.5807
1.2,0.4413,0.2671,0.8038,202.0,False,I,0.5807
1.3,0.4899,0.3064,0.8347,243.0,False,I,0.5807
1.4,0.5486,0.3366,0.9391,281.0,False,I,0.5807
1.5,0.6027,0.3656,0.9773,326.0,False,I,0.5807
1.6,0.6936,0.3975,1.0208,361.0,False,I,0.5807
1.7,0.7131,0.4299,1.0387,394.0,False,I,0.5807
1.8,0.7547,0.4609,1.0722,430.0,False,I,0.5807
1.9,0.7859,0.5038,1.0975,441.0,False,I,0.5807
2.0,0.8143,0.5716,1.1132,442.0,False,I,0.5807
2.1,0.8195,0.5902,1.123,458.0,False,I,0.5807
2.2,0.8317,0.6023,1.1594,471.0,False,I,0.5807
2.3,0.845,0.6227,1.1788,486.0,False,I,0.5807
2.4,0.8506,0.6295,1.2002,483.0,False,I,0.5807
2.5,0.8664,0.6411,1.2433,472.0,False,I,0.5807
2.6,0.8784,0.6531,1.2659,464.0,False,I,0.5807
2.7,0.8897,0.6573,1.2993,454.0,False,I,0.5807
2.8,0.9105,0.6711,1.31,436.0,False,I,0.5807
2.9,0.9341,0.6825,1.3232,417.0,False,I,0.5807
3.0,0.949,0.6829,1.3364,395.0,False,I,0.5807
3.1,0.9613,0.6899,1.357,387.0,False,I,0.5807
3.2,0.9922,0.6984,1.364,369.0,False,I,0.5807
3.3,1.0006,0.7048,1.4127,363.0,False,I,0.5807
3.4,1.0193,0.7213,1.443,345.0,False,I,0.5807
3.5,1.0354,0.7312,1.4716,326.0,False,I,0.5807
3.6,1.0591,0.7531,1.5267,300.0,False,I,0.5807
3.7,1.079,0.7598,1.5295,273.0,False,I,0.5807
3.8,1.0937,0.8326,1.5526,251.0,False,I,0.5807
3.9,1.108,0.8523,1.5846,231.0,False,I,0.5807
4.0,1.1154,0.8748,1.598,211.0,False,I,0.5807
4.1,1.1435,0.8894,1.6074,201.0,False,I,0.5807
4.2,1.1681,0.9184,1.6336,182.0,False,I,0.5807
4.3,1.1829,0.9379,1.7019,168.0,False,I,0.5807
4.4,1.1924,0.9755,1.7122,161.0,False,I,0.5807
4.5,1.2003,0.9925,1.7211,145.0,False,I,0.5807
4.6,1.2043,0.9987,1.7242,134.0,False,I,0.5807
4.7,1.2003,0.9982,1.7056,120.0,False,I,0.5807
4.8,1.2052,0.9982,1.7356,110.0,False,I,0.5807
4.9,1.2645,0.9985,1.7548,102.0,False,I,0.5807
5.0,1.2635,0.9983,1.7567,95.0,False,I,0.5807
5.1,1.2523,0.9999,1.7597,82.0,False,I,0.5807
5.2,1.3916,1.0015,1.7768,67.0,False,I,0.5807
5.3,1.4394,1.0098,1.7878,61.0,False,I,0.5807
5.4,1.4348,1.0147,1.7969,58.0,False,I,0.5807
5.5,1.5399,1.0322,1.8616,49.0,False,I,0.5807
5.6,1.5735,1.0592,1.9031,42.0,False,I,0.5807
5.7,1.5989,1.0905,1.9299,38.0,False,I,0.5807
5.8,1.601,1.093,1.9163,34.0,False,I,0.5807
5.9,1.7004,1.1674,1.9304,31.0,False,I,0.5807
6.0,1.741,1.3551,1.9692,21.0,False,I,0.5807
6.1,1.741,1.318,1.9835,19.0,False,I,0.5807
6.2,1.7574,1.3342,1.9981,17.0,False,I,0.5807
6.3,1.7675,1.4481,2.0126,15.0,False,I,0.5807
6.4,1.7675,1.4481,2.0126,15.0,False,I,0.5807
6.5,1.7739,1.4423,2.0199,14.0,False,I,0.5807
6.6,1.7739,1.4423,2.0199,14.0,False,I,0.5807
6.7,1.7739,1.4668,2.0478,12.0,False,I,0.5807
6.8,1.8066,1.4885,2.0982,0.0,True,I,0.5807
6.9,1.8394,1.5103,2.1486,0.0,True,I,0.5807
7.0,1.8722,1.532,2.1991,0.0,True,I,0.5807
7.1,1.9049,1.5537,2.2495,0.0,True,I,0.5807
7.2,1.9377,1.5754,2.2999,0.0,True,I,0.5807
7.3,1.9377,1.5754,2.2999,0.0,True,I,0.5807
7.4,1.9377,1.5754,2.2999,0.0,True,I,0.5807
7.5,1.9377,1.5754,2.2999,0.0,True,I,0.5807
7.6,1.9377,1.5754,2.2999,0.0,True,I,0.5807
7.7,1.9377,1.5754,2.2999,0.0,True,I,0.5807
7.8,1.9377,1.5754,2.2999,0.0,True,I,0.5807
7.9,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.0,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.1,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.2,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.3,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.4,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.5,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.6,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.7,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.8,1.9377,1.5754,2.2999,0.0,True,I,0.5807
8.9,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.0,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.1,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.2,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.3,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.4,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.5,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.6,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.7,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.8,1.9377,1.5754,2.2999,0.0,True,I,0.5807
9.9,1.9377,1.5754,2.2999,0.0,True,I,0.5807
10.0,1.9377,1.5754,2.2999,0.0,True,I,0.5807
