source_id,ra,dec,parallax,parallax_error,parallax_over_error,ruwe,ipd_frac_multi_peak,phot_g_mean_mag,bp_rp,teff_best,logg_best,mh_best,imodel,av_best,rv_best,chi2_best,chi2_prior_best,C_best,logR_iso,sig_logR_iso,teff,teff_err,logg,logg_err,mh,mh_err,av,av_err,rv,rv_err,A_DECam_Y,A_DECam_Y_err,A_DECam_g,A_DECam_g_err,A_DECam_i,A_DECam_i_err,A_DECam_r,A_DECam_r_err,A_DECam_z,A_DECam_z_err,A_VISTA_H,A_VISTA_H_err,A_VISTA_J,A_VISTA_J_err,A_VISTA_Ks,A_VISTA_Ks_err,refined,n_xp,plx_used,n_phot,spec_prior,dm_DECam_Y,dm_DECam_g,dm_DECam_i,dm_DECam_r,dm_DECam_z,dm_VISTA_H,dm_VISTA_J,dm_VISTA_Ks,plx_inflate,D_kpc,D_err,teff_desi,D_med,D_lo,D_hi,D_frac,D_phot,A_i,A_i_err
4043396394219296128,267.88944,-33.21436,-0.02471,0.05896,-0.41904,1.2837,1,15.67729,3.66133,3500.0,4.0,0.0,48,3.5,3.3,210.01187,0.0,61.4757,0.21903,0.15,3500.0,0.00798,4.00042,0.01447,0.0,0.0,3.51818,0.05129,3.3143,0.10421,1.49152,0.04752,3.96196,0.03847,2.16846,0.0489,2.8346,0.04634,1.69704,0.04791,0.64285,0.02657,1.00115,0.03709,0.41255,0.01916,True,338,False,8,False,0.02054,0.07766,0.01456,-0.08581,0.04257,0.01965,0.10939,-0.00662,1.7,-129.72807,1686.98191,,2.44092,2.10451,2.86768,0.15633,0.21119,2.16846,0.0489
4043396424240314112,267.90703,-33.21069,0.2112,0.0949,2.22545,1.11279,0,17.083,2.21458,5400.0,5.0,0.0,296,3.4,3.3,66.3604,0.0,1.66491,-0.28097,0.15,5381.2471,223.8384,4.73551,1.15162,0.0,0.0,3.44874,0.13125,3.34141,0.10913,1.47104,0.11672,3.93619,0.24059,2.16578,0.153,2.84565,0.18609,1.68433,0.12762,0.63842,0.05654,0.98986,0.08354,0.40946,0.03822,True,338,False,8,False,-0.00054,-0.04334,-0.02727,-0.02837,-0.0109,0.00638,-0.00089,0.03825,1.7,4.38209,3.09807,,1.63401,1.37913,1.97037,0.18092,0.40582,2.16578,0.153
4043396458732870528,267.9255,-33.19405,0.10893,0.08079,1.34836,1.19584,96,15.79014,2.59748,3900.0,0.5,0.0,93,2.9,3.05,137.39988,0.0,27.60827,2.23145,0.08,3933.31819,54.54551,1.01933,0.62418,0.0,0.0,2.89379,0.10487,3.02232,0.1378,1.14468,0.0839,3.2611,0.1439,1.74078,0.09754,2.33371,0.11191,1.32723,0.08748,0.4775,0.04493,0.75418,0.06358,0.30168,0.03209,True,338,False,6,False,0.04076,,0.02771,,0.02576,0.10238,0.03556,-0.03308,1.7,7.94063,8.65999,,23.16134,20.8322,24.49611,0.0791,32.42876,1.74078,0.09754
4043396462938736896,267.91538,-33.19809,0.07147,0.07572,0.94388,1.12989,0,16.80247,2.56519,4200.0,0.0,0.0,131,2.7,2.8,97.18807,0.0,6.02148,2.21903,0.15,4258.3267,101.45947,0.05458,0.16487,0.0,0.0,2.84437,0.18288,2.91738,0.12813,1.09139,0.11223,3.22138,0.21174,1.69118,0.14365,2.28991,0.17043,1.27535,0.12168,0.44889,0.05536,0.71359,0.08116,0.28052,0.03781,True,338,False,8,False,0.00451,-0.02992,-0.00372,-0.01234,0.00084,-6e-05,-0.01126,-0.00448,1.7,11.30269,16.44547,,23.22011,20.73104,24.52987,0.0818,67.48051,1.69118,0.14365
4043396492959958144,267.90504,-33.1928,0.1974,0.111,1.77845,1.04608,1,17.61086,2.54103,4200.0,1.0,0.0,133,2.8,3.05,92.22618,0.0,2.61466,1.98741,0.08,4317.01419,155.55829,1.61548,1.1286,0.0,0.0,2.88716,0.16669,3.09926,0.12777,1.16471,0.14574,3.26343,0.29656,1.75893,0.19093,2.3459,0.23142,1.34722,0.15937,0.49139,0.07064,0.77203,0.10427,0.31177,0.04783,True,338,False,8,False,0.00505,-0.00601,-0.00667,-0.01766,0.003,-0.04633,-0.15856,0.06136,1.7,4.66414,4.10488,,24.17411,22.92855,24.78654,0.03843,60.07619,1.75893,0.19093
4043396493092143616,267.8987,-33.19257,-0.15181,0.12423,-1.22204,1.13643,3,17.59966,2.44551,4800.0,6.0,0.0,221,3.1,3.05,111.87329,0.0,1.41334,-0.78097,0.15,4571.64004,245.90634,3.83944,1.94144,0.0,0.0,2.90308,0.36738,2.78895,0.27271,1.04573,0.21198,3.24108,0.40884,1.64539,0.26983,2.25424,0.32135,1.22964,0.22912,0.42243,0.10474,0.67695,0.15341,0.2609,0.07168,False,338,False,8,False,0.00644,0.0304,0.0354,0.01914,0.02322,-0.03807,0.00393,-0.04302,1.7,-7.41789,11.62046,,1.30572,1.11452,1.55076,0.16705,0.13929,1.64539,0.26983
4043402544615936512,267.93948,-33.1541,0.02356,0.0542,0.43463,0.98139,0,16.23547,2.29245,4200.0,0.0,0.0,131,2.4,3.05,162.30016,0.0,9.04807,2.21903,0.15,4253.13596,105.8997,0.01962,0.09768,0.0,0.0,2.49179,0.19431,3.0878,0.14045,1.00221,0.10438,2.80987,0.19684,1.51764,0.13381,2.02559,0.15871,1.16053,0.11324,0.42256,0.05139,0.66411,0.0754,0.26778,0.03504,True,338,False,8,False,0.01994,-0.03287,0.01392,0.00047,0.01424,0.01992,-0.05849,0.09926,1.7,24.65778,56.01727,,22.95977,20.20558,24.45506,0.09254,55.04933,1.51764,0.13381
4043402574753861760,267.95139,-33.1422,0.44306,0.11952,3.70692,1.2466,7,17.46562,2.48997,4500.0,0.0,0.0,170,2.9,3.05,120.61669,0.0,2.68393,2.21903,0.15,4467.8007,162.70306,0.50947,0.69222,0.0,0.0,2.87275,0.1877,2.97333,0.14419,1.12078,0.15004,3.26394,0.29781,1.72472,0.19493,2.32499,0.2345,1.30599,0.16343,0.46551,0.07324,0.73659,0.10781,0.29195,0.04974,True,338,False,8,False,0.0292,-0.00569,-0.00079,-0.00075,0.01939,-0.00442,0.0232,0.01531,1.7,2.17364,0.96,,23.58456,21.516,24.6311,0.06604,101.07515,1.72472,0.19493
4043402608993387264,267.90343,-33.16391,-0.15477,0.08681,-1.78284,0.97022,0,17.29891,2.30732,4300.0,0.0,0.0,144,2.5,3.05,135.87047,0.0,3.10478,2.21903,0.15,4366.4763,151.99166,0.2966,0.41801,0.0,0.0,2.56584,0.25004,2.98679,0.16939,1.00471,0.14446,2.90707,0.2857,1.54278,0.18797,2.07703,0.22607,1.16996,0.15753,0.41789,0.07045,0.66087,0.10376,0.26262,0.04784,True,338,False,8,False,-0.00801,-0.0165,-0.01705,-0.01322,-0.01094,0.03033,0.01612,0.01968,1.7,-7.25867,7.77547,,23.61327,21.58982,24.63853,0.06455,93.97549,1.54278,0.18797
4043402677705719552,267.90123,-33.15404,0.66098,0.14944,4.42315,2.55452,0,16.54061,1.75456,5600.0,5.5,0.0,323,2.0,2.8,138.02275,0.0,0.9146,-0.53097,0.15,5600.39398,231.79145,5.0513,0.90262,0.0,0.0,2.06752,0.18343,2.90304,0.17016,0.79266,0.11022,2.41909,0.21785,1.23459,0.14291,1.68205,0.17172,0.92882,0.12014,0.32569,0.05379,0.51774,0.07927,0.2024,0.0365,True,338,False,8,False,-0.0129,-0.03872,0.00732,0.01418,0.00827,0.02045,-0.03487,0.00011,1.7,1.47497,0.55268,,0.92498,0.78419,1.11175,0.17706,0.3079,1.23459,0.14291
4043402712066890240,267.90873,-33.14565,0.5033,0.01795,28.04184,0.68165,0,11.74063,2.29824,4200.0,1.5,0.0,134,2.1,2.8,132.43945,0.7256,331.58785,1.68323,0.16139,4199.95776,2.05472,1.5002,0.02335,0.0,0.0,2.16474,0.03825,2.91322,0.08768,0.83058,0.05062,2.47555,0.04636,1.28777,0.05392,1.74693,0.05262,0.97128,0.05164,0.34105,0.02778,0.54252,0.03905,0.21308,0.01989,True,338,True,3,False,,,,,,-0.00443,0.03545,-0.07908,1.7,1.92198,0.11271,,1.94476,1.8366,2.06643,0.05909,2.64808,1.28777,0.05392
4043402712190506624,267.91131,-33.14503,0.23395,0.09685,2.41566,1.13447,7,17.15093,2.23652,5900.0,5.5,0.0,360,3.3,2.8,85.28984,0.0,1.00727,-0.53097,0.15,5536.44601,505.87033,3.74,1.58447,0.0,0.0,3.1253,0.32568,2.86633,0.52413,1.26281,0.25027,3.69541,0.35859,1.93186,0.27628,2.60272,0.29721,1.46834,0.25694,0.52775,0.13752,0.83239,0.19282,0.33128,0.09861,False,338,False,5,False,0.05302,0.0172,0.05138,0.04571,0.05418,,,,1.7,3.98482,2.61431,,1.47469,1.25739,1.75765,0.16961,0.2934,1.93186,0.27628
4043402746426640384,267.9411,-33.13874,0.53988,0.07951,6.79023,0.99533,2,17.1819,2.05134,7400.0,5.0,0.0,504,2.8,2.3,239.94398,2.6711,0.33795,-0.28097,0.15,7279.6502,857.83746,4.81371,0.3416,0.0,0.0,2.70879,0.13109,2.30271,0.02,0.80853,0.0926,3.31464,0.38376,1.44495,0.16422,2.13031,0.24402,1.00575,0.11541,0.28003,0.03228,0.48356,0.05566,0.15445,0.01784,True,338,True,5,False,,-0.01656,,0.10874,,0.00961,0.18797,-0.02657,1.7,1.79571,0.43585,,1.58105,1.34062,1.9051,0.17852,0.90075,1.44495,0.16422
4043402712065478528,267.9145,-33.14946,-0.30577,0.14183,-2.15585,1.89255,0,16.80372,2.40568,4200.0,2.0,0.0,135,2.1,2.3,136.09008,0.0,3.09801,1.35272,0.08844,4482.1207,244.53603,2.74129,1.90911,0.0,0.0,2.34231,0.21089,2.39463,0.13276,0.7316,0.20563,2.74429,0.411,1.26519,0.26619,1.82638,0.32019,0.89547,0.22376,0.26246,0.10005,0.44537,0.14751,0.15034,0.06795,True,338,False,8,False,0.04167,0.01148,0.07199,0.03853,0.07374,0.03926,-0.02254,-0.008,1.7,-3.46294,2.89147,,13.81147,10.99437,17.32929,0.22934,12.79908,1.26519,0.26619
4043402712065482880,267.91666,-33.14811,-0.084,0.09053,-0.92789,1.02677,0,17.18971,2.41571,4800.0,6.0,0.0,221,3.3,3.55,107.54647,0.0,2.42721,-0.78097,0.15,4600.71367,201.48562,3.53789,1.84289,0.0,0.0,3.12167,0.18137,3.27001,0.2129,1.31207,0.17565,3.5578,0.32458,1.94306,0.22096,2.56304,0.25989,1.50527,0.18908,0.56462,0.08733,0.87897,0.12759,0.36125,0.05986,True,338,False,8,False,-0.02619,0.00698,-0.01043,-0.02665,-0.00956,-0.0067,-0.04895,0.01675,1.7,-14.9248,34.28155,,1.57176,1.3601,1.83843,0.15216,0.10629,1.94306,0.22096
4043402712072605440,267.91844,-33.13783,0.08946,0.08256,1.08359,1.09162,1,17.09703,2.49052,4100.0,1.0,0.0,120,2.2,2.8,115.11767,0.0,3.0489,1.98102,0.08,4141.83325,87.27688,1.0086,0.75333,0.0,0.0,2.27824,0.11045,2.97037,0.12706,0.88841,0.08943,2.59009,0.17963,1.36514,0.11384,1.84127,0.1372,1.03496,0.09657,0.36801,0.0447,0.58308,0.06508,0.23122,0.03087,True,338,False,8,False,-0.02775,-0.02709,-0.01198,-0.01824,-0.02341,-0.00031,-0.01752,0.00835,1.7,9.39277,12.38298,,24.09976,22.75484,24.76678,0.04174,54.82118,1.36514,0.11384
